date,EMFI_w60,EMFI_w100,EMFI_w150,EMFI_w200,EMFI_w250
2019-07-03,0.12368261629644037,0.004145797187268876,-0.020062532391261656,-0.015894752907783513,-0.103200271918996
2019-07-04,-0.30699660198924267,-0.45356659703294183,-0.49029286721944787,-0.481311927424048,-0.579248392522106
2019-07-05,-0.2654350575461815,-0.41165906773144123,-0.45286910363854915,-0.43143142074456897,-0.5272588054875817
2019-07-08,-0.2872116167384083,-0.43270853675040255,-0.47187853493677795,-0.4477549753203951,-0.5429071017630146
2019-07-09,0.0030396300545668226,-0.11617032821664075,-0.14869378297015404,-0.11781228813186348,-0.20935469557268083
2019-07-10,-0.37568496128072054,-0.4724862420408523,-0.5112084312898549,-0.4738454167788758,-0.5705963631455868
2019-07-11,-0.37474941636102127,-0.4523429062316543,-0.4931156366605957,-0.4557413455984716,-0.5534517183187937
2019-07-12,-0.45786713175238475,-0.5250132793404142,-0.5844833111903175,-0.5365446282729013,-0.6352921121461226
2019-07-15,-0.3842238559646871,-0.45976157032771797,-0.5141252802415058,-0.4629873483544796,-0.5582954064610282
2019-07-16,-0.37645146447902494,-0.4373918150543471,-0.4964887870780585,-0.44872062604380475,-0.5330545161451131
2019-07-17,-0.2371225119545153,-0.2782843576629718,-0.3545084892916828,-0.32966943205245713,-0.38145262367842603
2019-07-18,-0.1852335123842448,-0.22577994460623466,-0.29588584419964403,-0.27985262364934393,-0.3338139241882911
2019-07-19,-0.28160478429383634,-0.3324027440735683,-0.42451489503904094,-0.3989844946684522,-0.45597823866547915
2019-07-22,-0.405930899077582,-0.47734932395912033,-0.5708303538120667,-0.5425471723551633,-0.5972968888722592
2019-07-23,-0.1544129029916828,-0.20657999239882616,-0.31168311406555643,-0.27004152609416826,-0.32271487722221925
2019-07-24,-0.3722068742005359,-0.43977083342532336,-0.5670293020277458,-0.508821638520933,-0.5725186302001619
2019-07-25,-0.32379958512752155,-0.3838088340508364,-0.507868289986593,-0.4382563034146853,-0.5046209502534815
2019-07-26,-0.3873379632652924,-0.43938459021875664,-0.54968762151603,-0.4864563248105696,-0.554710579719041
2019-07-29,-0.37124591537352797,-0.40735993015445643,-0.5307781348417924,-0.46310772230668446,-0.5231599270715073
2019-07-30,0.3506408152316018,0.3753240529351076,0.3147558812083689,0.3560867213399463,0.31408201912712963
2019-07-31,-0.32759440597718487,-0.30858009267357506,-0.4191575234519279,-0.37161298923224095,-0.42567181206293964
2019-08-01,-0.4937335329307771,-0.46340800917201885,-0.634368058743473,-0.5381245344676885,-0.5932575533947856
2019-08-02,1.047064074631135,1.1746847414716826,1.0646330602870206,1.0945469365587277,1.0662048760414038
2019-08-05,1.4047046251453617,1.4736380008318177,1.3877261836241874,1.4029965880764825,1.3702724887182693
2019-08-06,-0.3620593331363213,-0.34714530928201814,-0.5250696770844792,-0.473835044750923,-0.533301460694705
2019-08-07,-0.35490035299243555,-0.34209744902540434,-0.5261926012413264,-0.4751561481610637,-0.5293519300177421
2019-08-08,0.47072095161433086,0.49451811876323043,0.40011446476394585,0.4399775550616735,0.39685650617466744
2019-08-09,-0.001129585166416052,-0.054113408832348955,-0.18245255445249994,-0.12553515925874228,-0.17874130391785867
2019-08-12,-0.32652676574296224,-0.39833400661066704,-0.5375474983974344,-0.47967592726095415,-0.5439074716325808
2019-08-13,-0.27606552688784763,-0.3554774991184959,-0.4846747391923335,-0.42615041544609633,-0.48850219195343847
2019-08-14,1.2885681272684442,1.2714498627725266,1.2366692503127366,1.2554204280837613,1.2176997237684888
2019-08-15,-0.3149398647909487,-0.40846960276697036,-0.5482458525705065,-0.4912817102393875,-0.5578075368992674
2019-08-16,0.10743786935285424,0.025967759398145836,-0.07696066292668813,-0.02739317329306815,-0.09084324939465478
2019-08-19,0.26870403482859107,0.16456722138791516,0.058025708225324775,0.10477909815788011,0.04041059279325788
2019-08-20,-0.01672151483243394,-0.14752948307973096,-0.27381516251958354,-0.21783271753345249,-0.2912372804389823
2019-08-21,0.08013651009270423,-0.04258516738146186,-0.165269550707291,-0.09686304044394978,-0.17430293850578107
2019-08-22,-0.1799579091525836,-0.308661992881004,-0.4479926137864715,-0.3823579180366909,-0.46661561726379175
2019-08-23,-0.04424806076070755,-0.14624460692121022,-0.2748570894310731,-0.20987037573304324,-0.2892888210739396
2019-08-26,-0.2619542455982259,-0.39061538219064224,-0.5336915864604775,-0.48691771828324915,-0.5502182696664625
2019-08-27,0.04398784663932009,-0.07182338531208794,-0.1944778389315117,-0.16172270331433558,-0.21144371954972094
2019-08-28,0.025457558310983446,-0.08742172790825828,-0.2201289546493166,-0.18355018014634553,-0.23589518981738444
2019-08-29,0.19901950220227818,0.1109107862125269,-0.009012238071392965,0.025501213079443245,-0.0257493912622685
2019-08-30,0.29658320642963193,0.18174769716954767,0.06735579090308343,0.10072102675222272,0.04464499811121377
2019-09-02,-0.15915635159567673,-0.316163831992145,-0.46660273346515796,-0.42265540226493986,-0.4881689082848541
2019-09-03,-0.07923269167426318,-0.26051048134923727,-0.38895104595199176,-0.3515883487520184,-0.4138542287890872
2019-09-04,0.030624694781445944,-0.11027895890631415,-0.23490828225117968,-0.1911604449680649,-0.2536832144095709
2019-09-05,0.24538205954956324,0.0744382087105003,-0.018442552241264457,0.0238463198549882,-0.03548441029779499
2019-09-06,-0.20001397027321735,-0.4170897190273799,-0.5207407173990106,-0.4727381590770061,-0.5386257725804484
2019-09-09,-0.06447092632516814,-0.21393628026159614,-0.2926908368316959,-0.24310192882531392,-0.30385445240842096
2019-09-10,-0.16350117102071715,-0.2933437892391668,-0.37419450085296013,-0.32377955850185747,-0.38881271378713095
2019-09-11,-0.24360153248615685,-0.3444523456121149,-0.4280566753923338,-0.43789768887888786,-0.43664636418944547
2019-09-12,-0.29072658600380913,-0.3847038776975975,-0.4699349759769337,-0.46963716780339476,-0.47135716061014693
2019-09-13,-0.27245781944133723,-0.3629975553358332,-0.4469828734239641,-0.45699334275676434,-0.44813416847188886
2019-09-16,-0.13915545275894897,-0.21720070840912875,-0.28389242650237895,-0.29372524924474946,-0.2804401303127527
2019-09-17,-0.29789683220081986,-0.3838491913775317,-0.4573985780471898,-0.47196306875489336,-0.45329070050930254
2019-09-18,-0.3228751282786968,-0.37315685415532546,-0.4498623611715306,-0.45966724212527976,-0.44837924406051793
2019-09-19,-0.3037571329317414,-0.3590680281230724,-0.4430426544728844,-0.4516339785043697,-0.4387944386271462
2019-09-20,-0.3605581800518301,-0.4295240083415543,-0.5166546172107152,-0.5338782498787482,-0.5175433715245972
2019-09-23,0.0043653123247133045,-0.04175894501308806,-0.09841819123432284,-0.116124474573812,-0.09161322191785012
2019-09-24,-0.37611986832519073,-0.46569727245534065,-0.5478068812731043,-0.5602667961837537,-0.5486261929672971
2019-09-25,-0.2620546979066254,-0.35514315992175133,-0.4159493203423514,-0.4468642168532871,-0.4371915502336645
2019-09-26,-0.22839452329631305,-0.3078527489669274,-0.3689489203980998,-0.3999484969939971,-0.39315018620186604
2019-09-27,-0.12998441220328427,-0.2267102254701032,-0.2550750336444728,-0.28751295153525036,-0.2748160931454243
2019-09-30,-0.3141779599913275,-0.4397885995628768,-0.4865129914697201,-0.5182018785677773,-0.5107026383953757
2019-10-01,-0.1509359914484376,-0.26986837982857376,-0.2903503740365407,-0.33756850057931775,-0.31586410443756957
2019-10-02,2.2564547601736504,2.237707362603342,2.3485395441271875,2.246580015325905,2.306487375971663
2019-10-03,-0.026639891909973092,-0.17706774067167522,-0.22274966502720647,-0.2804187447826456,-0.2510324420776503
2019-10-04,-0.010107677400914129,-0.14152806478247837,-0.19472133057976024,-0.25394112490818865,-0.22526000526861395
2019-10-07,-0.00965194948855804,-0.13942354896507597,-0.19952621782593688,-0.26866326144386166,-0.2272610062658345
2019-10-08,0.08404763347481727,-0.036839336550048334,-0.10048212358680958,-0.16987785801852606,-0.13273981553248107
2019-10-09,-0.1031827214838484,-0.2772722648794742,-0.3259705932094227,-0.39595721789235616,-0.364881445686747
2019-10-10,0.07388181803148573,-0.110342417241225,-0.15042933358153457,-0.23530274700802567,-0.18753357724147537
2019-10-11,1.221107136424996,1.1296646627923974,1.165082116954569,1.0538116030035123,1.1233937925698416
2019-10-14,0.11072044946497561,-0.047611799053852814,-0.07404233317661384,-0.16928378916993347,-0.14054635212149016
2019-10-15,0.217699943276058,0.10584824238526853,0.10301806803869448,0.007951451683151613,0.039015959003301987
2019-10-16,-0.12996886926368684,-0.2654821633610078,-0.3040278989240788,-0.4010202423360937,-0.3726539721628624
2019-10-17,-0.03982165184559298,-0.18249366215631876,-0.2431701690302235,-0.32500734550469157,-0.2863658985576107
2019-10-18,-0.05870015968128467,-0.20922634465171405,-0.27451725211806394,-0.3604314552381768,-0.3154868612917015
2019-10-21,0.09130265927001399,-0.018624541767451205,-0.07578124613446799,-0.15913605574099277,-0.11369915333866945
2019-10-22,0.08506500751647765,-0.034905235389074286,-0.09431760047855166,-0.17193963195747947,-0.12941610672218662
2019-10-23,-0.07319678472259426,-0.18744262657152333,-0.2691247143527976,-0.33823686658387664,-0.2984655821210684
2019-10-24,0.19252897232455335,0.060364298815294364,-0.0060422834593526235,-0.08522596208972859,-0.03301250412968139
2019-10-25,0.021728171074936162,-0.16985306669992095,-0.2503381539818207,-0.32203741036411554,-0.2766830219717376
2019-10-28,-0.022026983274827574,-0.2348845066614899,-0.3193926763368631,-0.39385372079340936,-0.3504793821801301
2019-10-29,-0.04343988708641299,-0.2598728099464315,-0.3496520785010729,-0.42344272144722783,-0.3794814721507705
2019-10-30,-0.05436257138786801,-0.24813528222751757,-0.3326446313329759,-0.40914314075558306,-0.3581892805718103
2019-10-31,0.2584429782709311,0.029255714914684372,-0.03904883385926641,-0.11561662174448283,-0.06471960672206657
2019-11-01,0.046918069926817546,-0.18119064369083843,-0.2598436812652061,-0.32883084830781,-0.27904078471459476
2019-11-04,0.7640671468384362,0.5827141776764843,0.5634118673772625,0.48240781913836983,0.5266613058306764
2019-11-05,-0.030094340729904304,-0.1709687575398459,-0.21020412083966136,-0.2773939051556225,-0.25416543273490894
2019-11-06,-0.21358160985825592,-0.37787131612896996,-0.426218891017915,-0.49470140669056095,-0.47473113646542836
2019-11-07,-0.16148033174118476,-0.2944140858720246,-0.33720820688999437,-0.40057624368132383,-0.3803897927539589
2019-11-08,-0.20864741800701012,-0.3612107773025818,-0.4148566376462357,-0.4773680101092622,-0.4519768278412526
2019-11-11,-0.246004926861264,-0.4125165282746545,-0.469309324453702,-0.5344134357372887,-0.5047063627833427
2019-11-12,-0.1235227982303432,-0.29175863770578075,-0.3455059438051536,-0.40538151320336574,-0.37642977446094694
2019-11-13,-0.18900924204012068,-0.3440933028291702,-0.4010495763746385,-0.4735086669185345,-0.4283878560152099
2019-11-14,-0.19458925185665768,-0.32995190557060367,-0.3929908669537107,-0.45064773856896756,-0.4036489078166172
2019-11-15,-0.25325127191619345,-0.35297171335132166,-0.43929299712289877,-0.47761076340305353,-0.43743684835881197
2019-11-18,-0.23777895239428418,-0.3964759876335512,-0.4928663574909625,-0.5303337946462218,-0.4927781595780045
2019-11-19,-0.23934923348722048,-0.4117230908089531,-0.516095874834689,-0.5519196673483121,-0.5143689944926074
2019-11-20,-0.18169561877067492,-0.34313855906377333,-0.4469780348076569,-0.48618346944757035,-0.49061892756296166
2019-11-21,-0.1649908479741208,-0.32759230779475385,-0.4337926434803367,-0.4713771013263077,-0.46809292169798117
2019-11-22,-0.1521103139577912,-0.3148064204928775,-0.42179088374038354,-0.4599817409166364,-0.4677312576449635
2019-11-25,-0.06422352007382526,-0.2397779052889776,-0.3451557630728837,-0.3845387419939713,-0.3877662698574501
2019-11-26,-0.20063348783488,-0.3769670379453209,-0.5024908101808853,-0.5366964352583895,-0.548826761966691
2019-11-27,-0.23719610217911935,-0.41996998833374427,-0.5535719900319291,-0.5854081732488458,-0.6019442031223622
2019-11-28,-0.23879604421480216,-0.4270788801741862,-0.556254157237617,-0.5931937241960046,-0.6081056795438545
2019-11-29,-0.17740113675113495,-0.3749847649169053,-0.4959512296796315,-0.531937592447294,-0.5488417082508379
2019-12-02,0.7994037298573442,0.641393910958938,0.5711883828021341,0.5200538789764828,0.5221766020246312
2019-12-03,0.16100500695378175,-0.03589264944817019,-0.13502905796470238,-0.18407654292783607,-0.19407111461762247
2019-12-04,0.38701822730381974,0.18895380245085552,0.08495299524490708,0.05233347156037779,0.03571504368661461
2019-12-05,-0.1532435836250597,-0.36197615489769425,-0.5050095541121828,-0.5328068751204071,-0.5576646670021038
2019-12-06,0.19731806811034053,0.05816496772935302,-0.06989299636791997,-0.08752211717208269,-0.1047002335888736
2019-12-09,-0.1084353272835947,-0.2802551160604801,-0.44093310522748197,-0.4482927910396477,-0.4750830744568129
2019-12-10,-0.12229371007686943,-0.2899633204991012,-0.4558274319018394,-0.4602076013206145,-0.49991712395184984
2019-12-11,-0.013606655620232376,-0.1417614055825488,-0.29402828777921647,-0.311999784441395,-0.34993748508939826
2019-12-12,0.18438620331816577,0.12972721613796076,-0.022661742110053097,-0.047019350062353464,-0.08968838200716878
2019-12-13,0.11278655111043896,-0.016046907689849673,-0.17933726606088465,-0.20355694972870494,-0.24765905454350481
2019-12-16,0.27063463619659694,0.12851921780744846,-0.019639459894616636,-0.045962054825609694,-0.09693745936973976
2019-12-17,0.07372140486618987,-0.10044810839224656,-0.2786967355646206,-0.3026203626519073,-0.3500460545747888
2019-12-18,0.057481903481970416,-0.12692841419738973,-0.33876933980737295,-0.3415104974388903,-0.3907480427942333
2019-12-19,0.03745647018800824,-0.15041624386962266,-0.3697223821916005,-0.365453142331426,-0.4342110082975151
2019-12-20,0.12382838764377807,-0.024783603087533468,-0.22028816984966687,-0.22780258355631539,-0.29449422844463663
2019-12-23,0.21956422616537624,0.05687539070304121,-0.12358919372750475,-0.13652626788059294,-0.20014818247039037
2019-12-24,-0.5910363077408252,-0.49265039333372634,-0.6897226608961311,-0.6843075548567602,-0.763750081738478
2019-12-25,-0.757409229791633,-0.6597295147246889,-0.8677030452466727,-0.873567095753657,-0.9666968310008212
2019-12-26,-0.707470917521311,-0.6222897936953345,-0.8502810781016441,-0.882594222008891,-0.9669277037833961
2019-12-27,-0.5320285011414186,-0.4343288405268672,-0.6433725455984275,-0.6834845020228483,-0.7650613221173546
2019-12-30,-0.3873550913762349,-0.2636163521723849,-0.45315000125900784,-0.49759707495791317,-0.5721338014490946
2019-12-31,-0.7326881762773463,-0.6798964158706159,-0.8126625475264302,-0.8568516403784088,-0.9337882293077836
2020-01-01,-0.7486780439699023,-0.7068333001362829,-0.8688876814278551,-0.9185792000774587,-0.9975706916684803
2020-01-02,0.20908819499705514,0.28382399777973827,0.18274144334670014,0.12443341273352668,0.06235187191325271
2020-01-03,-0.5042954011729901,-0.47645947897489294,-0.6144727640583781,-0.6613698209654537,-0.7329986540958989
2020-01-06,-0.37316041073115336,-0.3766759560405699,-0.4944735125441463,-0.5498662299670471,-0.6199528840314454
2020-01-07,-0.5091403739449936,-0.5364552770267039,-0.6620797491684088,-0.7127679734766307,-0.7865626890798373
2020-01-08,-0.3902172863243602,-0.4281221032421267,-0.5415793805582446,-0.5938545208562189,-0.6668978146449815
2020-01-09,-0.3218311876316015,-0.33395773366230813,-0.44417773872282096,-0.4954825060436424,-0.5617909806118766
2020-01-10,-0.645508824603618,-0.6324486501741188,-0.752021365431736,-0.7993069458723329,-0.8723528378809695
2020-01-13,-0.6221388839400567,-0.5800811214973005,-0.7192567939827754,-0.7569769946443803,-0.8288039337419336
2020-01-14,-0.6586083318678224,-0.6174402883000448,-0.7783476639297409,-0.8010251029258668,-0.8713800781034261
2020-01-15,-0.5412865638743455,-0.5214888561593148,-0.6788900458751085,-0.6975238531321951,-0.7681566590306916
2020-01-16,-0.5594242250591431,-0.5707380335736932,-0.7371913241607182,-0.756554701627092,-0.8239158803446386
2020-01-17,-0.4311367225521116,-0.459745395611846,-0.6183520255910768,-0.6381728247726917,-0.6995115301258972
2020-01-20,-0.539277602655628,-0.5735111495089974,-0.7613225658678304,-0.7896182387718547,-0.8613530571960265
2020-01-21,-0.4339944094621723,-0.47280756535760105,-0.6567989498406885,-0.6904170332394922,-0.7557221592694348
2020-01-22,-0.49255110578630085,-0.5033023922351222,-0.688049828758799,-0.7327983117268794,-0.8125268195258282
2020-01-23,-0.34719871659879237,-0.36196757544015423,-0.5283439732794089,-0.58423505772091,-0.6509128432599711
2020-01-24,-0.27102630488601,-0.18470469434279876,-0.33713833269847393,-0.41120469559886424,-0.46108800024412844
2020-01-27,2.078402388902734,2.06058746754672,1.9703361422201837,1.8305900876959216,1.8036952981948087
2020-01-28,0.2306746429134886,0.21089359257617582,0.027625071808986476,-0.07377952854776748,-0.1285076088976805
2020-01-29,-0.24554808195541858,-0.2659516944187462,-0.4753487376753924,-0.5707118914345009,-0.6345009167068525
