check_id,check_name,outcome,shock,horizon,beta,se,ci95_lo,ci95_hi,nobs
R10,BreadthShock,EMFI,breadth_shock,5,0.006914542523293054,0.03047035588985288,-0.05280735502081858,0.0666364400674047,2173.0
R10,BreadthShock,EMFI,breadth_shock,10,0.0031064327094490083,0.01735570803753729,-0.03091075504412408,0.037123620463022096,2168.0
R10,BreadthShock,EMFI,breadth_shock,20,-0.010405484006277185,0.027873800258302286,-0.06503813251254967,0.044227164499995295,2158.0
R11,TCI W=60 EMFI,EMFI_tci60,max_shock,0,0.4362276616672701,0.33111149936414885,-0.21275087708646168,1.085206200421002,2178.0
R11,TCI W=60 EMFI,EMFI_tci60,max_shock,1,0.4152297665089634,0.3277126261803694,-0.22708698080456052,1.0575465138224873,2177.0
R11,TCI W=60 EMFI,EMFI_tci60,max_shock,5,0.12565088494180426,0.19189301602897707,-0.2504594264749908,0.5017611963585993,2173.0
R11,TCI W=60 EMFI,EMFI_tci60,max_shock,10,0.08944005575049967,0.11248975760626553,-0.13103986915778076,0.3099199806587801,2168.0
R11,TCI W=60 EMFI,EMFI_tci60,max_shock,20,0.041447205671449674,0.18049435656502433,-0.31232173319599804,0.39521614453889736,2158.0
R12,TCI W=150 EMFI,EMFI_tci150,max_shock,0,0.5346096201479639,0.3693202502558059,-0.18925807035341569,1.2584773106493434,2128.0
R12,TCI W=150 EMFI,EMFI_tci150,max_shock,1,0.4930127088427385,0.3580234272048608,-0.2087132084787886,1.1947386261642656,2127.0
R12,TCI W=150 EMFI,EMFI_tci150,max_shock,5,0.14481411145156334,0.19972663487949333,-0.24665009291224357,0.5362783158153702,2123.0
R12,TCI W=150 EMFI,EMFI_tci150,max_shock,10,0.0712461727078035,0.11164380459688382,-0.14757568430208878,0.2900680297176958,2118.0
R12,TCI W=150 EMFI,EMFI_tci150,max_shock,20,-0.016082129741939247,0.179897328369914,-0.3686808933469707,0.3365166338630922,2108.0
